Week,Title,Date,#,Lecture,Readings,Links,Keywords,Homework,Discussion,Lab,Quiz,Survey
8,Hypothesis and Permutation Testing,Mon 11/16,21,"TVD, Hypothesis Testing, and Permutation Testing",CIT 12.0-12.1,https://inferentialthinking.com/chapters/12/Comparing_Two_Samples.html,"confidence intervals for hypothesis testing, body temperature, smoking/babies",,8. The Central Limit Theorem & Hypothesis Testing,,,
,,Tue 11/17,,,,,,,,6. Hypothesis Testing,,
,,Wed 11/18,22,Permutation Testing,CIT 12.3,https://inferentialthinking.com/chapters/12/3/Deflategate.html,"smoking/babies, np.random.permutation, shuffling, Deflategate",,,,,
,,Thu 11/19,,,,,,6. Hypothesis Testing and Permutation Testing,,,,
,,Fri 11/20,23,Correlation,CIT 15.0-15.2,https://inferentialthinking.com/chapters/15/Prediction.html,"association, correlation coefficient (r), predicting heights, regression line (su)",,,,4. Quiz 4 covers Lectures 17-21,
9,Prediction,Mon 11/23,24,Regression and Least Squares,CIT 15.2-15.4,https://inferentialthinking.com/chapters/15/2/Regression_Line.html,"regression line in original units, outliers, errors, RMSE, best fit, least squares",,9. TVD & Permutation Testing,,,
,,Wed 11/25,,No Lecture,,,,,,,,
,,Fri 11/27,,No Lecture (Thanksgiving 🦃),,,,,,,,
10,Review,Mon 11/30,25,Residuals and Inference,CIT 15.5-16.3,https://inferentialthinking.com/chapters/15/5/Visual_Diagnostics.html,"residuals, residual plots, patterns, datasaurus dozen, prediction intervals",,10. Regression,,,
,,Tue 12/1,,,,,,,,7. Regression,,
,,Wed 12/2,,Review,,,,,,,,
,,Thu 12/3,,,,,,Final Project,,,,
,,Fri 12/4,,"Review, Conclusion",,,,,,,,
,,Sat 12/5,,Final Exam,,,,,,,,SETs and End-of-Quarter Survey (due 8AM)
